Date,Type,Link
2022-11-28 23:59:02,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002728853550870528
2022-11-28 18:33:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003056337907527681
2022-11-28 11:36:41,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002642820725391360
2022-11-27 17:43:04,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002543857322110976
2022-11-26 20:18:35,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000950167352872960
2022-11-26 17:24:44,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002310390625783808
2022-11-26 17:24:07,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7002220750472384513?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7002220750472384513%2C7002320211823497216%29
2022-11-25 14:59:56,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001909526941605890?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7001909526941605890%2C7001921694525194240%29
2022-11-25 14:30:01,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001906296950022144
2022-11-25 09:33:20,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001672101015248896?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7001672101015248896%2C7001809835541336064%29
2022-11-24 23:07:06,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001521732578631681
2022-11-24 12:33:38,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001511187544764416
2022-11-24 09:40:15,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001202162244456448
2022-11-24 09:33:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001460962780164096
2022-11-23 14:34:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6999094349955231744
2022-11-23 08:29:22,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000957842144825344
2022-11-23 00:22:53,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000963138749624320
2022-11-22 20:39:36,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350409136263168?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6998350409136263168%2C7000910327668199424%29
2022-11-22 06:09:56,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000700898561695744
2022-11-21 15:51:24,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7000477582257197058
